"Bio"	"Div"	"prod_0"	"prod_0.25"	"prod_0.5"	"prod_0.75"	"prod_1"
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
7	6	4.5	4.28393191568528	4.07106781186547	3.86442440412294	3.66666666666666
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
4	4	4	4	4	4	4
2	2	2	2	2	2	2
0	0	0	0	0	0	0
14	13	9.66666666666667	9.2913566499401	8.93329984971816	8.5970853097998	8.28571428571428
0	0	0	0	0	0	0
10	8	8.5	8.45678638313706	8.4142135623731	8.37288488082459	8.33333333333333
5	4	2.83333333333333	2.72776199002637	2.62722927874818	2.53409320449705	2.45
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
11	10	9	8.82714553254822	8.65685424949238	8.49153952329836	8.33333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
9	8	7.33333333333333	7.188891941833	7.05243636248599	6.92565777407531	6.80952380952381
0	0	0	0	0	0	0
2	2	2	2	2	2	2
6	5	4.5	4.37035914941116	4.24264068711928	4.11865464247377	4
5	4	2.16666666666667	2.02375884888355	1.88843315371192	1.76326253396254	1.65
5	5	3.83333333333333	3.73210555869594	3.63822280011289	3.55277289325072	3.47619047619048
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
7	6	6.5	6.45678638313705	6.41421356237309	6.37288488082459	6.33333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
14	14	12	11.8271455325482	11.6568542494924	11.4915395232984	11.3333333333333
11	11	10	9.91357276627411	9.82842712474619	9.74576976164918	9.66666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
14	12	12	11.8271455325482	11.6568542494924	11.4915395232984	11.3333333333333
0	0	0	0	0	0	0
4	4	3	2.91357276627411	2.82842712474619	2.74576976164918	2.66666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
3	3	3	3	3	3	3
1	1	1	1	1	1	1
0	0	0	0	0	0	0
2	2	2	2	2	2	2
0	0	0	0	0	0	0
7	6	6.5	6.45678638313705	6.41421356237309	6.37288488082459	6.33333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
11	10	9	8.82714553254822	8.65685424949238	8.49153952329836	8.33333333333333
13	12	10.3333333333333	10.1024647081071	9.88086348723218	9.67142753572449	9.47619047619047
0	0	0	0	0	0	0
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
6	6	6	6	6	6	6
2	2	2	2	2	2	2
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
6	6	5	4.91357276627411	4.82842712474619	4.74576976164918	4.66666666666667
0	0	0	0	0	0	0
7	7	6	5.91357276627411	5.82842712474619	5.74576976164918	5.66666666666667
4	4	4	4	4	4	4
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
2	1	0.833333333333333	0.813557559587705	0.792893218813452	0.771606808431472	0.75
2	2	2	2	2	2	2
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
2	2	2	2	2	2	2
3	3	3	3	3	3	3
5	5	4.5	4.45678638313705	4.41421356237309	4.37288488082459	4.33333333333333
9	9	9	9	9	9	9
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
7	6	6.5	6.45678638313705	6.41421356237309	6.37288488082459	6.33333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
8	8	6.83333333333333	6.73210555869594	6.63822280011289	6.55277289325072	6.47619047619048
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
8	8	6	5.82714553254822	5.65685424949238	5.49153952329836	5.33333333333333
6	6	4	3.82714553254822	3.65685424949238	3.49153952329836	3.33333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
3	3	3	3	3	3	3
0	0	0	0	0	0	0
6	6	5	4.91357276627411	4.82842712474619	4.74576976164918	4.66666666666667
9	7	3.58333333333333	3.30598221605009	3.03975651175443	2.78938549019987	2.55833333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
0	0	0	0	0	0	0
8	8	8	8	8	8	8
12	10	9	8.74071829882233	8.48528137423857	8.23730928494753	8
12	10	10	9.82714553254822	9.65685424949238	9.49153952329836	9.33333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
5	5	5	5	5	5	5
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
7	7	6.5	6.45678638313705	6.41421356237309	6.37288488082459	6.33333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
2	2	2	2	2	2	2
11	8	10	9.91357276627411	9.82842712474619	9.74576976164918	9.66666666666667
0	0	0	0	0	0	0
5	5	3.33333333333333	3.188891941833	3.05243636248599	2.92565777407531	2.80952380952381
9	9	7.33333333333333	7.188891941833	7.05243636248599	6.92565777407531	6.80952380952381
0	0	0	0	0	0	0
0	0	0	0	0	0	0
10	10	10	10	10	10	10
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
12	10	11	10.9135727662741	10.8284271247462	10.7457697616492	10.6666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
15	12	8.91666666666667	8.47515358891168	8.07359971257848	7.71463048212382	7.39789377289377
7	5	4.33333333333333	4.10246470810711	3.88086348723218	3.67142753572449	3.47619047619047
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
7	7	6	5.91357276627411	5.82842712474619	5.74576976164918	5.66666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
7	7	7	7	7	7	7
0	0	0	0	0	0	0
4	4	4	4	4	4	4
