"Bio"	"Div"	"prod_0"	"prod_0.25"	"prod_0.5"	"prod_0.75"	"prod_1"
682	113	566.083333333333	556.776775567164	547.765098858871	539.167176437382	531.074084249084
905	112	753.75	740.832316034757	728.390158130745	716.586832003642	705.541208791209
1191	124	975.666666666667	958.078330002879	941.071753870361	924.873995022666	909.656684981685
653	108	546.25	537.515455815036	529.068866141363	521.021452993552	513.457417582418
770	119	633.083333333333	622.195216300463	611.639940755791	601.560578838004	592.067857142857
1075	117	887.17619047619	871.584611658093	856.614153872566	842.447667245119	829.214755964756
888	110	745.75	733.633270013405	722.001829876752	711.005967723378	700.751465201465
1008	115	841.25	827.328507561314	813.943933311173	801.270422901767	789.432417582418
1131	119	935.17619047619	918.811741787394	903.086900451835	888.194991423131	874.27427977428
1007	115	836.5	822.257538238151	808.54175059677	795.531376427404	783.356227106227
1182	123	969.666666666667	952.337611704056	935.586472496123	919.636685737719	904.656684981685
725	113	597.5	587.154679024297	577.116631862624	567.521155872046	558.473809523809
708	99	579.25	568.281680817076	557.689853969048	547.614514310616	538.160256410256
879	110	733.416666666667	720.990321033699	709.008839805547	697.62997066899	686.96978021978
1197	120	982.342857142857	964.432598735145	947.2325587243	930.954478963544	915.748821898822
885	113	743.916666666667	731.903540466452	720.333260149185	709.356945802167	699.084798534798
732	99	602.283333333333	591.374254009961	580.881127772283	570.936361581758	561.635531135531
714	100	585.75	574.824894433939	564.275640406675	554.241629429791	544.826923076923
790	104	652.25	640.513775697921	629.203945154086	618.466765033422	608.409340659341
1005	119	830.083333333333	815.55153374934	801.510613888654	788.146396264093	775.598351648352
1144	121	943.342857142857	926.64376801318	910.619405514126	895.465577786475	881.32025047025
966	126	794.75	780.53668428083	766.786149812949	753.681074452739	741.360256410256
880	120	737.416666666667	725.683703661339	714.335834154862	703.523384086176	693.360256410256
880	115	735.75	723.462791557696	711.628337198791	700.401258218716	689.894322344322
1004	116	838.25	824.333482794148	810.960835767726	798.305819224937	786.491941391941
726	115	594.75	584.184154058916	573.947552600366	564.1787778638	554.984523809524
1070	121	879.75	863.934216439287	848.657572011935	834.122188585189	820.479304029304
793	105	658.583333333333	647.124863824005	636.055998830519	625.523251131288	615.636446886447
1165	119	960.75	943.550603947711	926.942821196863	911.146808747217	896.326923076923
549	105	466.083333333333	459.255054990126	452.66772073628	446.404742504085	440.52793040293
1174	120	966.17619047619	948.85731016952	932.228191062716	916.492969249621	901.796440946441
1070	118	877.759523809524	861.708584666267	846.30987651992	831.749718545929	818.159078309078
1018	117	850.416666666667	836.342095534275	822.807894341852	809.990355616634	798.015750915751
875	120	728.75	716.699741135721	705.04512476684	693.940581383549	683.503113553114
772	118	628.166666666667	616.490978212194	605.231764337777	594.535002806836	584.50815018315
1052	127	867.25	851.874891858365	836.986818453576	822.784362558173	809.41978021978
999	117	821.42619047619	806.561794761979	792.333217117033	778.910219955234	766.409078309078
705	100	580.45	569.987857386169	559.929196473186	550.40050964191	541.492673992674
592	96	483.333333333333	474.120874746471	465.24426685302	456.81909799227	448.930036630037
1034	115	854.75	839.666715138849	825.1446019518	811.373711007201	798.491941391941
587	102	482.083333333333	473.269827835522	464.76879398945	456.689092373146	449.111263736264
535	92	439	430.880251183806	423.048810886827	415.608190582514	408.634065934066
973	120	796.166666666667	781.646053180545	767.594327420484	754.198736932275	741.601923076923
974	115	807.67619047619	793.861177153033	780.631372119314	768.144920360889	756.510726660727
547	92	458.916666666667	451.478142998417	444.326312948874	437.551660644266	431.218864468864
637	95	523.25	513.50397808536	504.119774357469	495.217811487531	486.885531135531
585	108	485.75	477.757027292374	469.998549384857	462.577377853083	455.574084249084
704	108	586.833333333333	577.04335819491	567.653927340497	558.782203101442	550.509615384615
859	110	722.083333333333	710.429528603062	699.224929438561	688.614988137949	678.703846153846
975	114	817.083333333333	803.801407845386	791.042254543769	778.97142463019	767.706227106227
814	105	669.166666666667	656.908459149055	645.064211054185	633.790634065993	623.205494505494
637	98	531.583333333333	522.64594560992	514.029165420293	505.843752855505	498.171245421245
993	124	822.75	808.629274753262	794.959451681029	781.92257650028	769.657875457875
661	113	543.916666666667	534.570627305823	525.522874722	516.89560174594	508.782142857143
834	107	692.333333333333	680.372316932926	668.836649873303	657.877385224023	647.606227106227
871	109	729.916666666667	717.986403682563	706.55035341562	695.755549582458	685.703846153846
1004	115	827.842857142857	813.174752825664	799.090699923638	785.761957102221	773.309994059994
1050	116	873.083333333333	858.198884823769	843.853008583802	830.23450747714	817.481684981685
878	117	735.25	723.237202767788	711.644423936903	700.624604155196	690.291208791209
1020	117	848.17619047619	833.884639361669	820.202894769145	807.29477856394	795.272631422631
640	98	525.45	515.766890495574	506.458178886743	497.640457273088	489.397435897436
887	118	738.916666666667	726.524772190765	714.545647866341	703.138168627845	692.422161172161
789	118	651	639.744817058432	628.845463599914	618.447987397323	608.664285714286
955	115	788.759523809524	774.87542874812	761.600927394092	749.09274631389	737.456697356697
754	103	614.583333333333	602.615052400157	591.099982105045	580.186317083126	569.980769230769
956	114	796.083333333333	782.524565443478	769.495846574158	757.166296436171	745.656227106227
698	107	575.166666666667	564.88654120184	555.020072201968	545.690939922114	536.985805860806
1203	120	982.67619047619	964.388654945181	946.815967166339	930.175789898428	914.623821898822
756	104	622.616666666667	611.476718718068	600.761991259516	590.607789117482	581.111721611722
804	113	671.416666666667	660.20883107502	649.406684273689	639.149747008755	629.540293040293
515	101	434.416666666667	427.861167883376	421.50287195616	415.425832278781	409.695512820513
1160	121	955.67619047619	938.654830254727	922.311793669551	906.847378760679	892.403583803584
646	111	534.166666666667	525.002913887174	516.123070003184	507.646260958181	499.664285714286
1130	116	934.67619047619	918.519047411912	902.966854263136	888.211649858688	874.393327393327
826	106	678.95	666.540868615593	654.599153707429	643.276578306977	632.68315018315
653	100	541.416666666667	531.945914999987	522.809523844137	514.125374557002	505.980769230769
583	102	478.583333333333	469.813041452385	461.354580427077	453.316207492322	445.77793040293
773	103	638.616666666667	627.390291484342	616.590418384262	606.353558879131	596.778388278388
1013	119	833.416666666667	818.398503983232	803.908834670405	790.138653921915	777.229304029304
762	109	634.833333333333	624.253197095256	614.081871328345	604.450057116281	595.451007326007
1115	119	917.17619047619	900.638887319942	884.743754701328	869.686530946429	855.607613107613
811	118	669.416666666667	657.85537012292	646.694153369097	636.079969076857	626.122161172161
1010	115	840.083333333333	825.763093034804	811.998553504451	798.96878628396	786.801465201465
1041	114	866.583333333333	851.996404908975	837.936611190637	824.588916988198	812.088827838828
1036	116	856.583333333333	841.485247931271	826.954397627166	813.180714138802	800.301465201465
1025	121	842.833333333333	827.850982596759	813.356054394948	799.541592003724	786.554304029304
973	124	809.083333333333	795.504609332068	782.367568588992	769.846679857992	758.074542124542
885	109	736.583333333333	723.921258518606	711.757746030468	700.24872420428	689.504578754579
813	115	672.333333333333	660.844111881353	649.780287876645	639.284584665916	629.460531135531
755	105	627.083333333333	616.198956839345	605.699122654536	595.719821520571	586.361721611722
1104	126	904.166666666667	887.655850793106	871.6784982171	856.447690478166	842.125732600732
1047	116	868.17619047619	853.277217533771	838.97156341087	825.433384637945	812.786184536184
1057	123	872.583333333333	857.666622675889	843.205593454844	829.39597448744	816.389285714286
991	113	820.083333333333	805.63220899827	791.695699496344	778.457534154914	766.053113553113
992	114	828.916666666667	815.231018086041	802.079972280494	789.634391689212	778.015750915751
1177	121	969.009523809524	951.675842961942	935.037986738083	919.299972381223	904.605964755965
1177	122	963.666666666667	946.25118447033	929.414899620869	913.382455499368	898.323351648351
820	107	680.616666666667	668.871728081987	657.560981132739	646.828177449026	636.778388278388
536	103	447.25	439.900667566394	432.78368521797	425.992887779205	419.600274725275
707	100	578.416666666667	567.463148024654	556.880058293681	546.807511179014	537.350732600732
