"Bio"	"Div"	"prod_0"	"prod_0.25"	"prod_0.5"	"prod_0.75"	"prod_1"
0	0	0	0	0	0	0
8	8	8	8	8	8	8
0	0	0	0	0	0	0
0	0	0	0	0	0	0
13	11	12	11.9135727662741	11.8284271247462	11.7457697616492	11.6666666666667
31	25	26.3333333333333	25.9296102406553	25.5377177367246	25.1629670590228	24.8095238095238
8	8	6.33333333333333	6.188891941833	6.05243636248599	5.92565777407531	5.80952380952381
0	0	0	0	0	0	0
18	15	15.3333333333333	15.1839167089989	15.0355339059327	14.8902614509052	14.75
25	22	23	22.9135727662741	22.8284271247462	22.7457697616492	22.6666666666667
14	12	11	10.7407182988223	10.4852813742386	10.2373092849475	10
14	13	12.5	12.3703591494112	12.2426406871193	12.1186546424738	12
15	12	14	13.9135727662741	13.8284271247462	13.7457697616492	13.6666666666667
0	0	0	0	0	0	0
36	26	31	30.566675825499	30.157309087458	29.7769733222259	29.4285714285714
0	0	0	0	0	0	0
0	0	0	0	0	0	0
15	14	10.5	10.1098894423619	9.74309552508486	9.40408844140134	9.09523809523809
2	2	2	2	2	2	2
0	0	0	0	0	0	0
17	15	14.3333333333333	14.1024647081071	13.8808634872322	13.6714275357245	13.4761904761905
0	0	0	0	0	0	0
42	32	32	31.133351650998	30.3146181749159	29.5539466444519	28.8571428571429
2	2	1.5	1.45678638313706	1.41421356237309	1.37288488082459	1.33333333333333
13	11	9.33333333333333	9.01603747438122	8.70929061197837	8.41719729737367	8.14285714285714
31	23	25.3333333333333	24.9296102406553	24.5377177367246	24.1629670590228	23.8095238095238
5	5	3.03333333333333	2.87534340472983	2.73878320403693	2.62233904900101	2.52380952380952
4	4	4	4	4	4	4
1	1	1	1	1	1	1
13	13	12	11.9135727662741	11.8284271247462	11.7457697616492	11.6666666666667
31	23	30	29.9135727662741	29.8284271247462	29.7457697616492	29.6666666666667
17	16	15	14.8271455325482	14.6568542494924	14.4915395232984	14.3333333333333
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
5	5	5	5	5	5	5
0	0	0	0	0	0	0
18	15	17	16.9135727662741	16.8284271247462	16.7457697616492	16.6666666666667
17	15	15.5833333333333	15.4660627453894	15.3668663805969	15.2853145106548	15.2197802197802
0	0	0	0	0	0	0
