"Bio"	"Div"	"prod_0"	"prod_0.25"	"prod_0.5"	"prod_0.75"	"prod_1"
0	0	0	0	0	0	0
1	1	1	1	1	1	1
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
3	3	2	1.91357276627411	1.82842712474619	1.74576976164918	1.66666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
2	2	2	2	2	2	2
3	3	3	3	3	3	3
3	3	3	3	3	3	3
0	0	0	0	0	0	0
0	0	0	0	0	0	0
5	5	4	3.91357276627411	3.82842712474619	3.74576976164918	3.66666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
2	2	2	2	2	2	2
0	0	0	0	0	0	0
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
2	2	0.833333333333333	0.732105558695942	0.638222800112891	0.55277289325072	0.476190476190476
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
5	5	3.33333333333333	3.188891941833	3.05243636248599	2.92565777407531	2.80952380952381
0	0	0	0	0	0	0
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
2	2	1	0.91357276627411	0.82842712474619	0.745769761649178	0.666666666666666
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
4	4	3	2.91357276627411	2.82842712474619	2.74576976164918	2.66666666666667
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
4	3	3	2.91357276627411	2.82842712474619	2.74576976164918	2.66666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
3	3	2	1.91357276627411	1.82842712474619	1.74576976164918	1.66666666666667
0	0	0	0	0	0	0
3	3	3	3	3	3	3
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
3	3	3	3	3	3	3
0	0	0	0	0	0	0
3	2	2	1.91357276627411	1.82842712474619	1.74576976164918	1.66666666666667
0	0	0	0	0	0	0
0	0	0	0	0	0	0
