"Bio"	"Div"	"prod_0"	"prod_0.25"	"prod_0.5"	"prod_0.75"	"prod_1"
2152	149	1736.2	1702.02198010395	1669.31359816912	1638.47861444378	1609.79120879121
2297	146	1872.91666666667	1837.12488533976	1802.88931630489	1770.63876371525	1740.66236263736
2243	149	1812.3	1776.83385590067	1742.89733193626	1710.9064676604	1681.14313186813
2198	151	1796.33333333333	1763.11534667683	1731.29037918694	1701.25843377955	1673.29450549451
2147	151	1729.63333333333	1695.43185186113	1662.73293153124	1631.93523331142	1603.30622710623
2297	143	1853.77619047619	1816.92683981789	1781.84551665612	1748.93655238851	1718.45633105633
2229	147	1844.25	1811.80460853742	1780.73063983913	1751.4159864006	1724.12619047619
2274	145	1868.25	1834.31804385383	1801.79354051761	1771.08413240709	1742.47142857143
2281	143	1843.20952380952	1806.60815218173	1771.64877449747	1738.74750132488	1708.18050688051
2305	146	1869.41666666667	1832.94135521241	1798.0338809246	1765.12780216749	1734.5173992674
2226	148	1797.3	1761.9202831344	1728.06890481151	1696.16069789875	1666.47646520147
2147	154	1731.13333333333	1696.90433672653	1664.1775169858	1633.34734239176	1604.67866300366
2296	145	1873	1837.24241561903	1802.95129789958	1770.55741480395	1740.36025641026
2269	143	1849.5	1813.90208717191	1779.88330028499	1747.85920921919	1718.10677655678
2279	144	1840.45952380952	1803.75020571834	1768.75103840659	1735.8670290544	1705.36017721018
2258	143	1855.75	1821.80207193159	1789.28636158451	1758.60728009742	1730.04194139194
2132	145	1763.86666666667	1732.86060714446	1703.01599191906	1674.71495891654	1648.23443223443
2299	147	1876.41666666667	1840.7713776408	1806.56752906243	1774.23670397013	1744.08095238095
2336	147	1901.66666666667	1865.11495205777	1830.10181463037	1797.06301316545	1766.29743589744
2288	148	1849.18333333333	1812.78489000911	1777.9292180052	1745.04831630243	1714.43763736264
2275	145	1841.54285714286	1805.23629982502	1770.59461317819	1738.02303757534	1707.78655083655
2266	151	1821.85	1784.95276904717	1749.60688753487	1716.25132806389	1685.18763736264
2296	147	1854.78333333333	1818.20489099581	1783.21393694695	1750.24260334313	1719.58287545788
2273	144	1868	1833.63457982124	1800.71512520593	1769.65223134843	1740.72765567766
2276	141	1873.5	1839.77683158464	1807.50009466306	1777.07116678069	1748.76263736264
2116	153	1697.55	1663.26468944981	1630.47081406522	1599.57014953462	1570.83406593407
2289	149	1851.35	1815.12350923368	1780.44227589967	1747.73588865366	1717.29716117216
2297	144	1875.33333333333	1839.62523000294	1805.44820067349	1773.22405427668	1743.23937728938
2271	147	1847.18333333333	1811.75089974993	1777.8849020766	1745.99877736579	1716.36886446886
2025	150	1652.08333333333	1621.20250641482	1591.66594606324	1563.83841296764	1537.96575091575
2269	143	1839.87619047619	1803.94256716334	1769.69166025593	1737.52220129351	1707.69131274131
2232	147	1809.34285714286	1773.96926002104	1740.17355563798	1708.3566077382	1678.78508563509
2274	146	1865.5	1831.24335296507	1798.39550789267	1767.37006615945	1738.45402930403
2292	148	1851.45	1814.84314458652	1779.81835483395	1746.80848509236	1716.10668498168
2251	156	1801.26666666667	1764.22187870367	1728.80961024546	1695.46474159902	1664.47838827839
2266	154	1831.35	1795.19475177841	1760.55181250362	1727.85143238509	1697.39001831502
2254	151	1826.29285714286	1790.59433616923	1756.46715054908	1724.31750114935	1694.41768636769
2051	141	1695.03333333333	1665.16065315764	1636.41974116543	1609.17755256033	1583.69871794872
2014	141	1664.08333333333	1634.4493621204	1605.98681127691	1579.05846765195	1553.92087912088
2280	140	1863.08333333333	1827.92602937129	1794.23163301397	1762.42369663124	1732.79450549451
2169	150	1765.16666666667	1731.62275299226	1699.50348854413	1669.20745628409	1641.00695970696
2011	140	1650.33333333333	1619.73802892745	1590.42255388318	1562.75724780358	1536.99706959707
2282	154	1831.8	1794.69449540041	1759.19845874502	1725.74212799929	1694.6163003663
2250	147	1833.50952380952	1798.71854666699	1765.40347337333	1733.96910037595	1704.69259479259
2017	137	1641.83333333333	1610.27599625507	1580.02042686158	1551.44814038646	1524.82353479853
2172	144	1771.16666666667	1737.43028418673	1705.08642104678	1674.54376110123	1646.08543956044
2023	147	1631.2	1598.97015688039	1568.12846747115	1539.05442126473	1512.00549450549
2318	151	1882.66666666667	1846.38700385596	1811.68825476317	1779.00067905073	1748.6141025641
2252	148	1853.75	1820.13665287625	1787.92957948693	1757.53200269684	1729.22142857143
2265	146	1868.08333333333	1834.79710737661	1802.89359074303	1772.7724059447	1744.70952380952
2301	141	1883.75	1848.49891142471	1814.70640512014	1782.79585185915	1753.06025641026
2162	144	1765	1731.72535477051	1699.82469407232	1669.70090602979	1641.63305860806
2258	155	1827.01666666667	1791.17871430403	1756.84252189164	1724.43423508771	1694.24716117216
2007	149	1619.21666666667	1587.48316764566	1557.15839017968	1528.61088307667	1502.08644688645
2248	144	1857.08333333333	1824.08468568053	1792.33511057182	1762.24494486127	1734.10989010989
2247	148	1849.75	1816.30594332608	1784.31824562862	1754.18483671549	1726.17380952381
2315	145	1877.12619047619	1840.55361578069	1805.61568675078	1772.72601449987	1742.15981090981
2287	140	1860.83333333333	1824.94890144748	1790.57323792846	1758.13917520662	1727.94377289377
2299	148	1866.75	1830.52698441402	1795.86153978466	1763.18850064897	1732.80283882784
2281	141	1863.75952380952	1828.90691422508	1795.57667744364	1764.17077590214	1734.95999405999
1976	143	1638.2	1609.73230734941	1582.34166702323	1556.37738053755	1532.09157509157
2276	148	1841.83333333333	1805.60020882015	1770.82202196949	1737.94286943009	1707.27445054945
2207	156	1779.55	1744.3339189091	1710.69622610458	1679.04469279173	1649.64981684982
2255	148	1831.25952380952	1795.76984844367	1761.80851232862	1729.78671724687	1699.9838035838
2301	146	1871	1834.80552078672	1800.12288390206	1767.38584817576	1736.89313186813
2282	142	1874.58333333333	1840.27014376562	1807.47055961377	1776.58986033154	1747.89908424908
