"Bio"	"Div"	"prod_0"	"prod_0.25"	"prod_0.5"	"prod_0.75"	"prod_1"
0	0	0	0	0	0	0
1	1	1	1	1	1	1
1	1	1	1	1	1	1
0	0	0	0	0	0	0
2	2	2	2	2	2	2
2	2	2	2	2	2	2
3	3	2	1.91357276627411	1.82842712474619	1.74576976164918	1.66666666666667
4	4	2.5	2.37035914941116	2.24264068711928	2.11865464247377	2
2	2	2	2	2	2	2
0	0	0	0	0	0	0
2	2	2	2	2	2	2
0	0	0	0	0	0	0
3	3	3	3	3	3	3
3	3	3	3	3	3	3
2	2	2	2	2	2	2
5	5	5	5	5	5	5
3	3	3	3	3	3	3
2	2	2	2	2	2	2
0	0	0	0	0	0	0
5	5	4	3.91357276627411	3.82842712474619	3.74576976164918	3.66666666666667
2	2	2	2	2	2	2
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
2	2	2	2	2	2	2
5	5	2.5	2.28274390981372	2.08624127559248	1.91254891810298	1.76190476190476
1	1	1	1	1	1	1
0	0	0	0	0	0	0
1	1	1	1	1	1	1
3	3	1.83333333333333	1.73210555869594	1.63822280011289	1.55277289325072	1.47619047619048
6	6	6	6	6	6	6
3	2	3	3	3	3	3
1	1	0.5	0.456786383137055	0.414213562373095	0.372884880824589	0.333333333333333
5	5	3.33333333333333	3.188891941833	3.05243636248599	2.92565777407531	2.80952380952381
0	0	0	0	0	0	0
1	1	1	1	1	1	1
2	2	2	2	2	2	2
2	2	2	2	2	2	2
5	5	4	3.91357276627411	3.82842712474619	3.74576976164918	3.66666666666667
0	0	0	0	0	0	0
2	2	2	2	2	2	2
2	2	1	0.91357276627411	0.82842712474619	0.745769761649178	0.666666666666666
0	0	0	0	0	0	0
6	6	3.16666666666667	2.92099750052894	2.69065916259888	2.47843066732603	2.28571428571428
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
4	4	3	2.91357276627411	2.82842712474619	2.74576976164918	2.66666666666667
1	1	1	1	1	1	1
0	0	0	0	0	0	0
3	3	1.33333333333333	1.188891941833	1.05243636248599	0.925657774075309	0.809523809523809
0	0	0	0	0	0	0
2	2	1.5	1.45678638313706	1.41421356237309	1.37288488082459	1.33333333333333
3	3	2	1.91357276627411	1.82842712474619	1.74576976164918	1.66666666666667
4	3	3	2.91357276627411	2.82842712474619	2.74576976164918	2.66666666666667
6	5	4	3.82714553254822	3.65685424949238	3.49153952329836	3.33333333333333
0	0	0	0	0	0	0
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	1	1	1	1	1	1
0	0	0	0	0	0	0
2	2	2	2	2	2	2
0	0	0	0	0	0	0
2	2	2	2	2	2	2
